FID,Id,x,y,area,perimeter
34,0,378141.976452999980000,4410435.257880000400000,12.718539781700001,13.572951451900000
35,0,378144.796816000020000,4410438.501500000200000,4.098435693870000,8.570167937270000
36,0,378145.967073999990000,4410442.599109999800000,22.646311226500000,19.519005424700001
37,0,378151.248434000010000,4410443.682620000100000,13.303678050300000,14.075561468400000
38,0,378150.767365999990000,4410440.222249999600000,20.429674496299999,21.349388143399999
39,0,378146.719776000010000,4410447.066929999700000,17.971060134300000,16.650054764600000
40,0,378150.413715999980000,4410450.505440000400000,37.419405999699997,24.952154152199999
41,0,378142.403981000010000,4410458.010350000100000,14.679839710000000,15.375911379700000
42,0,378138.011345000010000,4410456.710719999900000,14.488320058499999,15.726866351500000
43,0,378148.800606000000000,4410456.848389999900000,13.988274134599999,15.096553824300001
44,0,378145.717741000000000,4410460.198699999600000,15.779450508300000,15.327966243200001
45,0,378143.708144999980000,4410464.177269999900000,11.916072535600000,12.998079015600000
46,0,378141.071356999980000,4410466.586980000100000,13.669351818899999,14.248366663200001
47,0,378151.706644000020000,4410457.693199999600000,15.672867476400000,16.581209157899998
48,0,378155.184064999980000,4410459.173150000200000,15.493422552800000,15.963806505899999
49,0,378159.017889000010000,4410460.654590000400000,20.085038329500001,16.942760660000001
50,0,378163.335296000000000,4410460.050289999700000,13.394171641100000,13.950638109900000
51,0,378162.896363999990000,4410463.293660000000000,16.650187572099998,15.826795663000000
52,0,378167.089174000020000,4410461.468510000000000,13.680008610400000,14.416763558300000
53,0,378170.504302999990000,4410463.137459999900000,21.459216299700000,18.578086799600001
54,0,378167.748611000020000,4410457.392540000400000,14.501351544700000,14.193531604400000
55,0,378168.809774999970000,4410453.778140000100000,19.864511051699999,17.821492486800000
56,0,378173.723082999990000,4410455.237520000000000,14.709931182500000,14.787540802700001
57,0,378177.119393999980000,4410457.168130000100000,22.401045193900000,20.979368528799998
58,0,378171.296703999980000,4410458.558070000300000,14.850578192900000,14.972066998900001
59,0,378175.432320999970000,4410462.194470000500000,17.551746351599999,15.950090013500001
60,0,378171.761874000020000,4410450.759390000300000,12.151186597200001,13.036506468200001
61,0,378175.495107000000000,4410452.210740000000000,13.655737610199999,14.643029425000000
62,0,378176.130309999980000,4410448.003460000300000,22.209665838100001,23.420242032400001
63,0,378168.961359000010000,4410447.076159999700000,36.792006852599997,28.695854005000001
64,0,378164.884718000020000,4410443.454730000300000,42.095577571100002,31.306512751100001
65,0,378160.258718999980000,4410441.132299999700000,18.068435808800000,16.669640715300002
66,0,378156.543721999970000,4410439.095730000200000,9.991440013900000,13.033373818999999
67,0,378155.349292000000000,4410442.984210000400000,28.542855034500000,22.032492542899998
68,0,378159.615578000030000,4410437.108869999600000,12.989372547800000,13.671944013999999
69,0,378166.275047999980000,4410436.966690000100000,30.463210566099999,26.117399534800001
70,0,378169.951095000030000,4410434.560920000100000,17.762972355399999,17.612981259200001
71,0,378173.179711000000000,4410436.390089999900000,20.922980907500001,18.819338080700000
72,0,378172.820596000010000,4410431.302360000100000,22.408478964600000,18.913321982100001
73,0,378166.409668000010000,4410430.195570000400000,23.238916021100000,19.098587894900000
74,0,378162.473441999990000,4410434.503180000000000,21.901050364300001,19.675828812300001
75,0,378157.349480999980000,4410434.115360000200000,18.552624477100000,16.252006344600002
76,0,378154.918855000000000,4410436.651490000100000,4.858451590080000,9.166149807429999
77,0,378152.439661999990000,4410437.286430000300000,8.000844997550001,11.047958365600000
78,0,378153.840826999980000,4410434.427020000300000,7.531252301800000,10.449635743500000
79,0,378150.353360000010000,4410434.724050000300000,9.820178730610000,11.996977381400001
80,0,378151.993871000010000,4410431.231990000200000,14.338327146599999,15.132470401699999
81,0,378155.083906000010000,4410430.499280000100000,13.405078374700000,14.018785787700001
82,0,378153.968222000000000,4410425.782139999800000,18.963839852200000,17.263487363799999
83,0,378149.188230999980000,4410429.846450000100000,12.777243294400000,13.535592189700001
84,0,378145.649001999990000,4410430.012260000200000,12.804904726500000,13.912921485000000
85,0,378143.973139000010000,4410426.983799999600000,11.312746644100001,12.962978063300000
86,0,378146.698009999990000,4410425.246050000200000,11.692171680600000,13.155121755900000
87,0,378149.767111000020000,4410425.471110000300000,12.704438497600000,13.775069052599999
88,0,378151.199044000010000,4410421.187979999900000,25.264667464500000,20.616333266000002
89,0,378145.729962999990000,4410421.011570000100000,22.369764360600001,19.537012920500000
90,0,378160.521499000020000,4410429.431920000400000,36.429274060300003,24.265500055299999
91,0,378164.217539999980000,4410421.635150000500000,21.246402266099999,17.552371109399999
92,0,378166.499207000020000,4410425.280919999800000,15.968053878999999,15.768425795300001
93,0,378176.941449999980000,4410435.064670000200000,10.821314206900000,12.799818379700000
94,0,378171.463926000000000,4410440.649709999600000,18.320738718699999,17.169451071400001
95,0,378176.238170999980000,4410440.881839999900000,30.649702867300000,21.021624587500000
96,0,378181.817472999970000,4410438.226210000000000,27.843637684899999,22.060055340800002
97,0,378182.014662000000000,4410434.140100000400000,20.530955047199999,18.952458623199998
98,0,378179.362827999980000,4410431.216289999900000,16.399282345400000,16.686418848599999
99,0,378185.734364999980000,4410430.176439999600000,17.238406732100000,17.401965744100000
100,0,378186.492848999970000,4410425.098810000300000,14.851633337499999,14.636689743100000
101,0,378191.417839000000000,4410426.954309999900000,23.272335967600000,18.671830879700000
102,0,378196.843016000000000,4410426.857420000200000,19.235869570100000,16.879739716000000
103,0,378200.867780999980000,4410429.578370000200000,20.908979991500001,18.055781359600001
104,0,378199.992054999980000,4410425.229659999700000,10.191272613400001,12.610870216200000
105,0,378204.744859999980000,4410429.020109999900000,33.575684286300003,24.725021249299999
106,0,378201.779404999980000,4410422.065379999600000,21.557174176400000,17.661982768000001
107,0,378195.952579999980000,4410421.968969999800000,18.369212358599999,16.940703360400001
108,0,378191.628230999980000,4410421.841059999500000,24.472320381100001,18.536049331200001
109,0,378187.020854000000000,4410421.489869999700000,13.667223512000000,14.456776358500001
