1	973
1	974
1	975
1	976
2	974
2	975
4	638
4	639
5	638
5	639
6	638
6	639
6	812
7	639
7	812
7	813
7	898
8	812
8	813
8	897
8	898
8	899
9	898
10	310
10	768
14	938
16	413
18	280
18	863
19	575
31	604
35	774
38	431
38	730
41	647
45	669
46	814
47	205
48	911
54	183
56	52
60	521
63	422
64	139
64	474
65	696
68	831
71	285
79	740
80	610
81	109
81	781
84	905
86	565
86	661
87	401
91	956
94	468
97	511
98	860
99	234
99	338
100	268
101	21
111	160
111	431
111	937
114	383
114	779
115	455
119	89
121	223
121	356
121	616
121	696
128	246
129	749
134	497
134	804
135	45
135	579
136	291
139	401
144	89
145	664
145	903
147	129
148	452
148	629
151	223
153	189
154	541
156	755
157	362
161	63
164	699
166	930
167	422
170	503
174	18
176	261
176	319
176	480
176	669
177	371
178	98
181	630
181	977
183	839
184	959
185	765
189	446
191	734
193	173
195	212
195	410
196	905
198	545
200	288
200	945
210	335
210	800
212	675
213	101
214	967
217	145
221	526
226	64
227	39
228	203
228	261
229	700
229	928
231	431
231	570
231	601
231	747
231	860
240	380
241	168
241	450
248	310
248	489
250	202
254	222
254	347
258	92
259	637
259	732
259	904
260	24
264	143
268	271
268	404
271	861
271	964
277	350
280	560
280	674
280	745
281	597
283	452
286	933
287	43
291	805
294	246
295	300
297	104
299	211
301	172
301	329
306	261
307	386
307	830
310	139
311	636
315	72
323	503
324	110
324	545
326	326
329	10
329	863
331	341
331	822
335	948
336	461
339	216
339	237
341	264
345	80
348	300
348	494
348	890
349	590
350	150
353	377
354	752
355	709
356	931
357	48
357	561
362	410
364	434
366	809
369	110
371	860
371	918
374	190
377	353
379	508
380	10
382	313
382	649
383	279
384	171
384	590
384	722
387	471
390	881
394	927
396	80
397	214
398	407
400	127
400	344
403	619
404	446
404	764
405	26
405	304
407	492
408	698
409	568
410	168
415	413
415	529
415	935
419	277
420	887
421	862
422	220
428	120
429	911
430	58
430	362
434	392
435	715
439	196
441	537
443	930
444	167
444	413
447	318
447	480
448	262
449	353
449	654
450	790
451	582
453	231
459	20
459	446
461	632
464	210
469	344
470	240
471	289
474	908
478	169
478	268
480	434
480	956
482	104
484	132
487	592
488	512
489	210
489	535
494	488
496	693
497	81
499	401
499	452
506	665
507	267
508	184
517	120
517	404
518	383
523	237
524	51
525	437
525	911
531	13
534	944
535	977
536	977
538	93
541	149
541	642
552	124
558	69
558	291
558	292
558	293
558	541
558	542
559	69
559	292
559	541
559	542
560	764
560	765
561	37
561	38
561	205
561	959
562	252
562	255
563	36
563	37
563	140
563	204
563	205
563	252
563	253
563	255
563	335
563	338
563	407
563	410
563	692
563	839
563	957
563	958
