手工质心x	树顶x	手工质心y		树顶y		x差绝对值	y差绝对值		手工面积-算法面积	手工面积	算法面积	相对误差
378171	378171	4.41046e+06	4.41046e+06	0.210697 	0.03946		-9.86078	21.4592	31.32	0.459513
378168	378168	4.41046e+06	4.41046e+06	0.266389 	0.20546		0.691352	14.5014	13.81	0.047675
378169	378169	4.41045e+06	4.41045e+06	0.194775 	0.21986		-2.60549	19.8645	22.47	0.131163
378174	378175	4.41046e+06	4.41046e+06	0.791917 	0.86048		-2.76007	14.7099	17.47	0.187633
378177	378178	4.41046e+06	4.41046e+06	0.495606 	0.47013		7.20105	22.401	15.2	0.32146
378171	378171	4.41046e+06	4.41046e+06	0.281704 	0.23993		-3.63942	14.8506	18.49	0.245069
378175	378176	4.41046e+06	4.41046e+06	0.582679 	0.10353		-4.27825	17.5517	21.83	0.243751
378172	378171	4.41045e+06	4.41045e+06	0.646874 	1.53861		-2.77881	12.1512	14.93	0.228687
378175	378176	4.41045e+06	4.41045e+06	0.319893 	0.11274		-2.06426	13.6557	15.72	0.151164
378176	378176	4.41045e+06	4.41045e+06	0.51531 	0.80546		2.98967	22.2097	19.22	0.134611
378169	378169	4.41045e+06	4.41045e+06	0.446359 	0.12184		2.26201	36.792	34.53	0.0614809
378165	378165	4.41044e+06	4.41044e+06	0.169718 	0.64327		21.0656	42.0956	21.03	0.500423
378160	378160	4.41044e+06	4.41044e+06	0.143719 	0.8343		3.11844	18.0684	14.95	0.17259
378157	378157	4.41044e+06	4.41044e+06	0.671278 	0.40227		-3.32856	9.99144	13.32	0.333141
378155	378156	4.41044e+06	4.41044e+06	0.265708 	0.18621		8.74286	28.5429	19.8	0.306306
378160	378160	4.41044e+06	4.41044e+06	0.499422 	0.31087		-0.630627	12.9894	13.62	0.0485495
378166	378166	4.41044e+06	4.41044e+06	0.260048 	0.03131		-3.36679	30.4632	33.83	0.11052
378170	378171	4.41043e+06	4.41043e+06	0.963905 	0.16292		-0.427028	17.763	18.19	0.0240403
378173	378173	4.41044e+06	4.41044e+06	0.135289 	0.40791		19.003	20.923	1.92	0.908235
378173	378173	4.41043e+06	4.41043e+06	0.205596 	0.39564		1.59848	22.4085	20.81	0.0713337
378166	378167	4.41043e+06	4.41043e+06	0.105332 	0.10243		1.87892	23.2389	21.36	0.0808521
378162	378163	4.41043e+06	4.41043e+06	0.541558 	0.39482		0.46105	21.9011	21.44	0.0210515
