"","手工质心x","树顶x","手工质心y","树顶y","x差绝对值","y差绝对值","手工面积.算法面积","手工面积","算法面积","相对误差"
"75",378152,378152,4410440,4410440,0.524662,0.01157,-2.84916,8.00084,10.85,0.356107
"76",378154,378154,4410430,4410430,0.174173,0.72902,-4.25875,7.53125,11.79,0.565477
"77",378150,378150,4410430,4410430,0.03836,0.22605,-0.0698213,9.82018,9.89,0.00710998
"78",378152,378152,4410430,4410430,0.421129,0.36601,2.11833,14.3383,12.22,0.147739
"79",378155,378155,4410430,4410430,0.268906,0.59872,-0.454922,13.4051,13.86,0.0339365
"80",378154,378155,4410430,4410430,0.646778,0.51586,8.20384,18.9638,10.76,0.432604
"81",378149,378149,4410430,4410430,0.073231,0.65155,-4.21276,12.7772,16.99,0.329708
"82",378146,378146,4410430,4410430,0.065998,0.71426,7.3449,12.8049,5.46,0.573601
"83",378144,378145,4410430,4410430,0.541861,0.2858,-2.13725,11.3127,13.45,0.188924
"84",378147,378146,4410430,4410420,0.38301,0.44805,-6.19783,11.6922,17.89,0.530084
"85",378150,378150,4410430,4410430,0.147889,0.32689,-3.82556,12.7044,16.53,0.30112
"86",378161,378159,4410430,4410430,1.2065,0.66608,4.25927,36.4293,32.17,0.116919
"87",378166,378166,4410430,4410420,0.084207,0.98292,6.77805,15.9681,9.19,0.424476
"88",378177,378178,4410440,4410430,0.57355,0.26667,-1.98869,10.8213,12.81,0.183775
"89",378171,378172,4410440,4410440,0.551074,0.95171,-4.02926,18.3207,22.35,0.219929
"90",378176,378176,4410440,4410440,0.076829,1.08384,-7.4803,30.6497,38.13,0.244058
"91",378182,378182,4410440,4410440,0.197527,0.37179,1.33364,27.8436,26.51,0.0478974
"92",378179,378180,4410430,4410430,0.752172,1.01829,-24.1307,16.3993,40.53,1.47145
"93",378191,378192,4410430,4410430,0.497161,0.84369,7.58234,23.2723,15.69,0.325809
"94",378197,378197,4410430,4410430,0.128016,0.34058,0.23587,19.2359,19,0.012262
"95",378201,378201,4410430,4410430,0.347219,0.68037,-5.63102,20.909,26.54,0.269311
"96",378205,378205,4410430,4410430,0.47014,0.47789,4.38568,33.5757,29.19,0.130621
"97",378187,378187,4410430,4410430,0.159262,0.66705,-16.8543,6.0757,22.93,2.77405
"98",378187,378187,4410440,4410440,0.377672,0.12041,0.695439,14.1954,13.5,0.0489903
"99",378187,378187,4410440,4410440,0.545363,0.79345,-14.3505,15.7495,30.1,0.911171
"100",378183,378183,4410440,4410440,0.200198,0.56913,-1.68141,14.9586,16.64,0.112405
"101",378182,378182,4410450,4410450,0.37387,0.16164,-21.1673,19.3227,40.49,1.09547
"102",378187,378187,4410450,4410450,0.264383,0.24774,0.590185,20.9902,20.4,0.0281172
"103",378186,378187,4410450,4410450,0.891629,0.25168,4.33026,18.4603,14.13,0.234572
"104",378191,378192,4410450,4410450,0.434952,0.17035,-2.51407,20.0659,22.58,0.12529
"105",378194,378194,4410450,4410450,0.779744,0.29415,0.58689,15.1069,14.52,0.0388492
"106",378197,378196,4410440,4410440,0.751157,1.48765,-0.67524,22.3848,23.06,0.0301652
"107",378206,378206,4410450,4410450,0.514231,0.03641,33.3263,43.3063,9.98,0.769548
"108",378202,378202,4410450,4410450,0.367265,1.12218,-1.02247,29.1975,30.22,0.0350192
"109",378197,378198,4410450,4410450,0.304275,0.50732,1.38861,18.3286,16.94,0.0757619
"110",378194,378194,4410450,4410450,0.127289,0.19163,1.77917,12.8892,11.11,0.138036
"111",378198,378198,4410450,4410450,0.071425,1.02902,-0.35691,10.4531,10.81,0.034144
"112",378191,378192,4410460,4410460,0.716177,0.13968,0.0314099,18.3314,18.3,0.00171345
"113",378181,378181,4410450,4410450,0.214334,0.31214,-1.78155,29.4385,31.22,0.0605176
"114",378185,378185,4410460,4410460,0.021107,0.37986,-4.52868,27.2413,31.77,0.166243
"115",378186,378185,4410460,4410460,0.312421,1.27123,-20.4309,11.3391,31.77,1.80181
