y	x
474	346
475	623
475	716
475	729
477	72
477	179
478	500
478	608
478	654
479	924
480	60
480	103
481	374
481	474
481	489
482	805
482	902
482	972
484	255
484	359
484	426
485	591
485	687
485	782
485	853
487	137
487	303
488	463
488	563
488	673
488	726
489	892
490	13
490	78
490	123
490	178
491	340
491	443
491	506
491	549
491	610
492	872
492	977
493	61
494	322
494	488
495	749
495	859
495	917
497	261
497	368
498	583
498	776
498	796
500	33
500	201
500	225
500	248
501	455
501	631
501	652
501	671
502	830
502	890
503	75
503	126
504	281
504	331
504	444
504	502
504	549
505	711
505	930
505	977
506	1
507	380
507	427
508	815
508	855
510	268
510	295
510	308
511	695
511	729
512	901
513	146
513	173
513	185
514	350
514	575
514	601
515	780
516	26
516	48
517	234
517	455
517	476
518	657
518	884
518	924
519	859
520	111
520	333
520	373
521	762
523	213
524	190
524	414
524	536
524	643
525	618
525	842
525	964
526	89
527	290
527	518
528	714
528	943
530	166
530	392
531	377
531	592
531	819
533	43
533	270
534	475
534	697
535	903
536	147
537	353
537	413
537	576
538	784
538	841
539	25
540	233
540	291
540	308
540	452
541	661
541	681
541	722
541	881
543	110
543	131
543	183
543	330
544	537
544	555
544	612
545	968
546	8
546	57
546	208
547	415
547	436
547	485
547	636
548	845
548	864
548	918
550	295
550	318
550	363
550	516
551	746
551	799
551	944
553	191
553	248
554	619
554	677
554	822
